"","A1","A2","A3","A1","A2","A3"
"307",1,1,1,0.9743,0.9256,0.9598
"308",1,1,1,0.9969,0.9897,0.9985
"309",1,0,1,0.9003,0.072,0.9399
"310",1,1,1,0.9924,0.9746,0.9963
"311",1,1,0,0.8942,0.9009,0.1425
"312",1,1,1,0.9947,0.9884,0.9901
"313",0,1,0,0.4465,0.6163,0.1346
"314",1,1,1,0.9516,0.5743,0.9676
"315",1,0,1,0.671,0.3767,0.8939
"316",1,1,0,0.8335,0.7694,0.2109
"317",1,1,1,0.8301,0.9246,0.5777
"318",1,1,1,0.9743,0.7788,0.9574
"319",1,1,1,0.9639,0.7364,0.9758
"320",1,1,1,0.9955,0.9755,0.9964
"321",1,1,1,0.9797,0.883,0.9911
"322",1,0,1,0.9054,0.1195,0.9329
"323",1,1,1,0.9987,0.9928,0.9971
"324",1,1,1,0.734,0.7635,0.5654
"325",1,1,1,0.941,0.8036,0.983
"326",1,0,1,0.7808,0.2999,0.7325
"327",1,1,1,0.953,0.5459,0.9342
"328",1,0,0,0.5087,0.0678,0.3804
"329",1,1,1,0.991,0.9701,0.9961
"330",1,0,1,0.9045,0.08,0.9299
"331",1,0,1,0.911,0.0692,0.8253
"332",1,1,1,0.9947,0.9884,0.9901
"333",1,0,1,0.9419,0.4993,0.9275
"334",1,1,0,0.6225,0.6519,0.2994
"335",1,1,1,0.9758,0.9781,0.9762
"336",0,0,1,0.2585,0.0412,0.8738
"337",1,1,1,0.9969,0.9897,0.9985
"338",1,1,1,0.5903,0.6238,0.5045
"339",1,1,1,0.957,0.683,0.9541
"340",1,1,1,0.8818,0.9279,0.5166
"341",1,1,1,0.8717,0.8048,0.5552
"342",1,0,1,0.9042,0.0402,0.8505
"343",1,1,0,0.5863,0.5985,0.2075
"344",1,1,1,0.9458,0.8148,0.7898
"345",1,1,1,0.7457,0.6693,0.828
"346",1,1,1,0.9738,0.7561,0.9647
"347",1,0,1,0.9471,0.3634,0.9827
"348",1,0,1,0.927,0.3578,0.9584
"349",1,1,1,0.9662,0.5308,0.9851
"350",1,0,1,0.823,0.4321,0.7831
"351",1,0,1,0.9303,0.0052,0.9737
"352",1,1,1,0.8889,0.6083,0.6969
"353",1,1,0,0.6625,0.7608,0.0875
"354",1,1,1,0.9708,0.7484,0.9636
